GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0405
GridSearch: New best config found. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0935
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0046
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0484
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0935
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0046
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0493
GridSearch: New best config found. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0935
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0046
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0494
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0935
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0046
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 5, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0576
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0645
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0047
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0624
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0647
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0049
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0628
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0647
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0050
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0628
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0647
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0050
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 10, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0045
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0507
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0449
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0080
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.01, 'learning_rate': 1e-05}, map value is 0.0046
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0534
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0470
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0086
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.001, 'learning_rate': 1e-05}, map value is 0.0046
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0538
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0471
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0087
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 0.0001, 'learning_rate': 1e-05}, map value is 0.0046
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.01}, map value is 0.0538
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.001}, map value is 0.0472
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 0.0001}, map value is 0.0087
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 20, 'reg': 1e-05, 'learning_rate': 1e-05}, map value is 0.0046
GridSearch: Config is suboptimal. Config {'num_factors': 30, 'epochs': 5, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0537
