BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.40592911560119194, 'precision': 0.27704537926466904, 'recall': 0.07594866634405283, 'map': 0.18463292664973727, 'NDCG': 0.12813503609315602, 'MRR': 0.47334106216186445}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.26710003312355063, 'precision': 0.17946339847632004, 'recall': 0.030007312411166078, 'map': 0.12034609510139534, 'NDCG': 0.060307861414939136, 'MRR': 0.3102324169150928}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.3183311250966101, 'precision': 0.21652865187148712, 'recall': 0.04329723014430106, 'map': 0.14584865297559962, 'NDCG': 0.08086322081287162, 'MRR': 0.37373578447609496}
BayesianSearch: Best config is: Config {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False}, map value is 0.1846
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.4219993368700262, 'precision': 0.282493368700277, 'recall': 0.07858463600181399, 'map': 0.19304252320954907, 'NDCG': 0.13334322175092406, 'MRR': 0.49046474358974473}
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 10, 'similarity': 'pearson', 'normalize': False} - results: {'AUC': 0.2938887048691623, 'precision': 0.18747929778072647, 'recall': 0.03649861908225675, 'map': 0.12290001288138143, 'NDCG': 0.0702172864896593, 'MRR': 0.33122998785469715}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 10, 'similarity': 'pearson', 'normalize': False} - results: {'AUC': 0.3093325604504806, 'precision': 0.1956608148393566, 'recall': 0.03932620189814714, 'map': 0.12868228074049615, 'NDCG': 0.07624894627104642, 'MRR': 0.34903113613779296}
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 1000, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.29895384785248963, 'precision': 0.20308049022855798, 'recall': 0.03831742036141056, 'map': 0.13639753781605435, 'NDCG': 0.07268266894478405, 'MRR': 0.3488820801589921}
BayesianSearch: New best config found. Config: {'topK': 150, 'shrink': 50, 'similarity': 'pearson', 'normalize': True} - results: {'AUC': 0.34157281660593986, 'precision': 0.21692613448162432, 'recall': 0.049433344993435345, 'map': 0.14249089102351858, 'NDCG': 0.0926248396594653, 'MRR': 0.38618195870597233}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 500, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.3131555702771335, 'precision': 0.21712487578669074, 'recall': 0.04324521484209125, 'map': 0.14523485517647503, 'NDCG': 0.08042016903518981, 'MRR': 0.3686319973501149}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.40592911560119194, 'precision': 0.27704537926466904, 'recall': 0.07594866634405283, 'map': 0.18463292664973727, 'NDCG': 0.12813503609315602, 'MRR': 0.47334106216186445}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 10, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.4014574362371646, 'precision': 0.26800264988407857, 'recall': 0.07217636976461667, 'map': 0.180417034706121, 'NDCG': 0.12301340416413444, 'MRR': 0.46600971624158244}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 10, 'similarity': 'jaccard', 'normalize': False} - results: {'AUC': 0.40897924257480384, 'precision': 0.27505796621398937, 'recall': 0.07534054558503331, 'map': 0.18391966618821579, 'NDCG': 0.12702178197884953, 'MRR': 0.47220934084133886}
