BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 55} - results: {'AUC': 0.3355553715358285, 'precision': 0.20443855581319054, 'recall': 0.050856686480196096, 'map': 0.12821385852563458, 'NDCG': 0.0868289009941137, 'MRR': 0.366169813403996}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 60} - results: {'AUC': 0.33603842331898004, 'precision': 0.20665783371978266, 'recall': 0.05129360684362572, 'map': 0.12907323065032666, 'NDCG': 0.08733565318463346, 'MRR': 0.3659931544661581}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 50} - results: {'AUC': 0.3360108203599428, 'precision': 0.20708843988076311, 'recall': 0.05091788722461377, 'map': 0.1293127783298379, 'NDCG': 0.08664047360607942, 'MRR': 0.36583581759964645}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 1e-09, 'epochs': 30} - results: {'AUC': 0.3203461411063267, 'precision': 0.20125869493210402, 'recall': 0.048646953841165574, 'map': 0.12453995068271416, 'NDCG': 0.08152443406748351, 'MRR': 0.35202605719332986}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-06, 'epochs': 65} - results: {'AUC': 0.3363282543888711, 'precision': 0.20705531632991878, 'recall': 0.051384213612515994, 'map': 0.12896981156380055, 'NDCG': 0.08661511069813894, 'MRR': 0.36578061168157155}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 50} - results: {'AUC': 0.33619023959368477, 'precision': 0.20831401126201549, 'recall': 0.05189329110436593, 'map': 0.130000322034523, 'NDCG': 0.08789628776358413, 'MRR': 0.36706138898089824}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 40} - results: {'AUC': 0.336880313569615, 'precision': 0.20695594567738498, 'recall': 0.0512069296807329, 'map': 0.1292324997239716, 'NDCG': 0.08714037249932907, 'MRR': 0.3661504913326705}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 65} - results: {'AUC': 0.33360936292370513, 'precision': 0.20314673733024932, 'recall': 0.05099043437710262, 'map': 0.1269466986861, 'NDCG': 0.08645454264320658, 'MRR': 0.3626614773103671}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.001, 'epochs': 50} - results: {'AUC': 0.33503091531412194, 'precision': 0.20728718118583137, 'recall': 0.05146451867765633, 'map': 0.12875676272496533, 'NDCG': 0.0873863062909903, 'MRR': 0.36444462846417025}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 50} - results: {'AUC': 0.3363972617864638, 'precision': 0.20778403444850105, 'recall': 0.05159997525445283, 'map': 0.12925807846601253, 'NDCG': 0.08735212752289062, 'MRR': 0.36434525781163707}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 0.001, 'epochs': 65} - results: {'AUC': 0.33591421000331256, 'precision': 0.20887711162637437, 'recall': 0.05238217316864112, 'map': 0.12995753744801522, 'NDCG': 0.08810033186623961, 'MRR': 0.3670779507563203}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 50} - results: {'AUC': 0.334823893121343, 'precision': 0.20821464060948144, 'recall': 0.05184554187520558, 'map': 0.12905400058886435, 'NDCG': 0.08733050789444285, 'MRR': 0.36452191674947537}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 1e-09, 'epochs': 80} - results: {'AUC': 0.3396130065142984, 'precision': 0.20235177210997746, 'recall': 0.05078728579151502, 'map': 0.1270550403003213, 'NDCG': 0.08634454539792538, 'MRR': 0.3648945566964773}
BayesianSearch: Best config is: Config {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 50}, map value is 0.1300
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.001, 'epochs': 145} - results: {'AUC': 0.34067572043723116, 'precision': 0.20758529314343327, 'recall': 0.05140070477524064, 'map': 0.13086825107651637, 'NDCG': 0.08849318558555543, 'MRR': 0.37011979684222057}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 110} - results: {'AUC': 0.3349343049574912, 'precision': 0.20453792646572458, 'recall': 0.05055281490493344, 'map': 0.1284556144418691, 'NDCG': 0.08773690970985046, 'MRR': 0.3668736888594448}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 190} - results: {'AUC': 0.3411725736999006, 'precision': 0.20765154024512253, 'recall': 0.05367882060255782, 'map': 0.1298808472268238, 'NDCG': 0.09110371929620531, 'MRR': 0.37289941481726774}
BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 225} - results: {'AUC': 0.34315998675057935, 'precision': 0.2088771116263746, 'recall': 0.05289690328146366, 'map': 0.13109105296087856, 'NDCG': 0.09117514431763794, 'MRR': 0.37324721210113637}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 165} - results: {'AUC': 0.3397510213094842, 'precision': 0.20847962901623893, 'recall': 0.052273143386316834, 'map': 0.1303032645099567, 'NDCG': 0.08968661103219688, 'MRR': 0.3717925361598762}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 210} - results: {'AUC': 0.3423595009385006, 'precision': 0.21010268300762677, 'recall': 0.05325198233104489, 'map': 0.13247787162783958, 'NDCG': 0.09154655217469472, 'MRR': 0.37528155018217935}
BayesianSearch: New best config found. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 235} - results: {'AUC': 0.3422766920613889, 'precision': 0.21093077177874328, 'recall': 0.05340997044789004, 'map': 0.13252074822421028, 'NDCG': 0.09158703439069851, 'MRR': 0.374895108755658}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 195} - results: {'AUC': 0.34491277464944275, 'precision': 0.211725736999015, 'recall': 0.05385139817250241, 'map': 0.1329596352729021, 'NDCG': 0.09255774515963543, 'MRR': 0.376062713922932}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 230} - results: {'AUC': 0.3451888042398145, 'precision': 0.2069890692282291, 'recall': 0.05298817560074868, 'map': 0.12977089543999198, 'NDCG': 0.09014680221485256, 'MRR': 0.37605167273931717}
BayesianSearch: New best config found. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 0.001, 'epochs': 210} - results: {'AUC': 0.34284255272165143, 'precision': 0.21096389532958743, 'recall': 0.05301591126321733, 'map': 0.13313822641787296, 'NDCG': 0.09204563326299506, 'MRR': 0.3754333664568833}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 0.001, 'epochs': 220} - results: {'AUC': 0.3413519929336428, 'precision': 0.2090758529314423, 'recall': 0.052509616100748786, 'map': 0.13144193257517317, 'NDCG': 0.09065806717969231, 'MRR': 0.3711907916528647}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-09, 'epochs': 200} - results: {'AUC': 0.34078613227337945, 'precision': 0.20874461742299585, 'recall': 0.05163158594083052, 'map': 0.13183260645541311, 'NDCG': 0.09055862852272202, 'MRR': 0.3732361709175218}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 215} - results: {'AUC': 0.3428287512421328, 'precision': 0.20639284531302587, 'recall': 0.053157456477848856, 'map': 0.12923976850318442, 'NDCG': 0.09015942973205983, 'MRR': 0.37169868609914947}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 205} - results: {'AUC': 0.3421800817047585, 'precision': 0.21076515402451992, 'recall': 0.05310733085309881, 'map': 0.13196381252070316, 'NDCG': 0.09152789745810982, 'MRR': 0.3734818372529529}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 160} - results: {'AUC': 0.34269073644694775, 'precision': 0.21006955945678196, 'recall': 0.051992657385206406, 'map': 0.1327586397261798, 'NDCG': 0.08968389056607635, 'MRR': 0.37407806116815717}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 125} - results: {'AUC': 0.33326432593574007, 'precision': 0.20437230871150144, 'recall': 0.051374806629258675, 'map': 0.12815133782341553, 'NDCG': 0.08803057061743828, 'MRR': 0.3653224025615543}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 0.001, 'epochs': 200} - results: {'AUC': 0.3434222148614334, 'precision': 0.20950645909242308, 'recall': 0.05307516308353347, 'map': 0.13170949725810688, 'NDCG': 0.09166500887913896, 'MRR': 0.3754996135585731}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 230} - results: {'AUC': 0.34338081042287705, 'precision': 0.2099701888042485, 'recall': 0.05309273982682269, 'map': 0.1320720161201294, 'NDCG': 0.09166823089046112, 'MRR': 0.3760682345147394}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 245} - results: {'AUC': 0.34640333443745125, 'precision': 0.2090758529314423, 'recall': 0.052812182036328786, 'map': 0.13198598689779636, 'NDCG': 0.09110768015315814, 'MRR': 0.37537540024290517}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.001, 'epochs': 145} - results: {'AUC': 0.3403858893673403, 'precision': 0.20609473335542403, 'recall': 0.05080920497165145, 'map': 0.12980047661109395, 'NDCG': 0.08765098869771801, 'MRR': 0.36939107872363847}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.0, 'epochs': 120} - results: {'AUC': 0.34125538257701205, 'precision': 0.20732030473667581, 'recall': 0.0515523586496494, 'map': 0.13070654374149024, 'NDCG': 0.08893649504341385, 'MRR': 0.370674616318869}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 110} - results: {'AUC': 0.33309870818151704, 'precision': 0.2041404438555894, 'recall': 0.050257820676825805, 'map': 0.12802026977292072, 'NDCG': 0.08740236530414838, 'MRR': 0.36228331677155684}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 235} - results: {'AUC': 0.34543723087114886, 'precision': 0.20834713481286007, 'recall': 0.05301882701587889, 'map': 0.13108396820139195, 'NDCG': 0.09103527749185557, 'MRR': 0.37588053439328595}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 200} - results: {'AUC': 0.34224908910235174, 'precision': 0.20516727393177328, 'recall': 0.05286667068292125, 'map': 0.12935556291634576, 'NDCG': 0.09074082473307138, 'MRR': 0.3715165065695036}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 160} - results: {'AUC': 0.3404134923263771, 'precision': 0.21059953627029598, 'recall': 0.052957198718180255, 'map': 0.132364699495787, 'NDCG': 0.09102208021376991, 'MRR': 0.3746604836038419}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 0.001, 'epochs': 190} - results: {'AUC': 0.34339461190239584, 'precision': 0.20649221596555967, 'recall': 0.05230360287614003, 'map': 0.12942429428434862, 'NDCG': 0.09089863534866234, 'MRR': 0.3737054212211537}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 1e-06, 'epochs': 250} - results: {'AUC': 0.3414210003312355, 'precision': 0.20881086452468506, 'recall': 0.052215241624045935, 'map': 0.13190419012918278, 'NDCG': 0.09056151500694379, 'MRR': 0.3717428508336085}
