BayesianSearch: Testing config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 1e-06, 'lambda_2': 0.001} - Exception No module named 'Base'
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-06, 'lambda_2': 1e-09, 'epochs': 200} - results: {'AUC': 0.3434636192999891, 'precision': 0.20682345147400621, 'recall': 0.049880726508073216, 'map': 0.13503905818703876, 'NDCG': 0.08992934005102683, 'MRR': 0.3837556586066023}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adam', 'lambda_1': 0.001, 'lambda_2': 0.0, 'epochs': 95} - results: {'AUC': 0.33512752567075144, 'precision': 0.20702219277907397, 'recall': 0.05065456585664062, 'map': 0.13250699274962363, 'NDCG': 0.08905745244479475, 'MRR': 0.3733852268963227}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-09, 'epochs': 165} - results: {'AUC': 0.3356381804129399, 'precision': 0.20152368333886175, 'recall': 0.04777954229121331, 'map': 0.13212349563873307, 'NDCG': 0.08628909783902121, 'MRR': 0.3762448934525777}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 0.0, 'epochs': 30} - results: {'AUC': 0.33210500165617757, 'precision': 0.20208678370322053, 'recall': 0.04788186808532683, 'map': 0.13133391299547414, 'NDCG': 0.08597643938562692, 'MRR': 0.3715192668654074}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 215} - results: {'AUC': 0.34175223583968156, 'precision': 0.20606160980457905, 'recall': 0.049543662846052224, 'map': 0.1345306576865052, 'NDCG': 0.08941156489525635, 'MRR': 0.3803246107982776}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 0.0, 'lambda_2': 1e-09, 'epochs': 45} - results: {'AUC': 0.33268466379595857, 'precision': 0.20258363696589027, 'recall': 0.048021428262171005, 'map': 0.13120417908799908, 'NDCG': 0.08631807950345516, 'MRR': 0.3719029479960249}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 1e-09, 'lambda_2': 1e-06, 'epochs': 195} - results: {'AUC': 0.3398062272275588, 'precision': 0.20553163299106475, 'recall': 0.0494281992264955, 'map': 0.13349246439218393, 'NDCG': 0.0890651576704697, 'MRR': 0.37926465717124885}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'sgd_mode': 'adam', 'lambda_1': 1e-09, 'lambda_2': 0.0, 'epochs': 40} - results: {'AUC': 0.3320497957381029, 'precision': 0.2029811195760263, 'recall': 0.048266322292507824, 'map': 0.13152676566928093, 'NDCG': 0.0865869934035298, 'MRR': 0.37252125427845834}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'sgd_mode': 'adagrad', 'lambda_1': 0.001, 'lambda_2': 1e-06, 'epochs': 240} - results: {'AUC': 0.3420282654300542, 'precision': 0.20828088771117106, 'recall': 0.05030807328872014, 'map': 0.13501444554856384, 'NDCG': 0.09023474083482878, 'MRR': 0.3828226785911447}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'sgd_mode': 'adagrad', 'lambda_1': 0.0, 'lambda_2': 1e-06, 'epochs': 155} - results: {'AUC': 0.3342856354201167, 'precision': 0.20211990725406548, 'recall': 0.0481407269820325, 'map': 0.13196178830370703, 'NDCG': 0.08636166067643115, 'MRR': 0.37427956276912866}
