GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0278
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0894
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0893
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0034
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0897
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0034
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0897
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0892
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0010
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0884
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0884
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0890
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0008
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0884
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0884
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0890
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0031
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0889
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0886
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0891
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0031
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0889
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0886
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0891
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0032
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0296
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0888
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0890
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0032
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0296
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0888
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0890
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0021
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0890
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0889
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0021
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0014
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0890
