BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 244, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 0.0, 'negative_reg': 0.001, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23238175202910732, 'precision': 0.13848026868176921, 'recall': 0.03442226419994262, 'map': 0.08589531439499677, 'NDCG': 0.039136325199651885, 'MRR': 0.2554694934228839, 'F1': 0.05513863002000119, 'HR': 0.6924013434089001, 'ARHR': 0.3289707528687182}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 224, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.0001, 'negative_reg': 1e-05, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23470822837951344, 'precision': 0.1376406381192168, 'recall': 0.03357436264730991, 'map': 0.085763119227537, 'NDCG': 0.03881789793009042, 'MRR': 0.2558760145535865, 'F1': 0.05398121284388298, 'HR': 0.6882031905961377, 'ARHR': 0.32912678421492575}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 200, 'epochs': 58, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.01, 'negative_reg': 0.01, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23366918555835517, 'precision': 0.13837951301426302, 'recall': 0.03438928545462261, 'map': 0.08697000653045761, 'NDCG': 0.039463129606365076, 'MRR': 0.2585579345088061, 'F1': 0.05508833326726151, 'HR': 0.6918975650713686, 'ARHR': 0.3330940386229884}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 200, 'epochs': 62, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 0.0, 'negative_reg': 1e-06, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23277707808564194, 'precision': 0.1369269521410476, 'recall': 0.03326745075581794, 'map': 0.08559702397611473, 'NDCG': 0.03881535922306234, 'MRR': 0.25457038902881785, 'F1': 0.053529499912601815, 'HR': 0.6846347607052897, 'ARHR': 0.32801077525886646}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 310, 'batch_size': 1, 'user_reg': 1e-05, 'positive_reg': 0.0, 'negative_reg': 0.0001, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.2363245172124265, 'precision': 0.1362300587741297, 'recall': 0.03355746802832197, 'map': 0.08590594971545583, 'NDCG': 0.03869328534269297, 'MRR': 0.25428561432968505, 'F1': 0.05385007871783511, 'HR': 0.6811502938706969, 'ARHR': 0.3283606213265971}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 226, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 0.01, 'negative_reg': 0.0, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23666036943744742, 'precision': 0.13752308984045958, 'recall': 0.033488611807751374, 'map': 0.08662733230711589, 'NDCG': 0.03888124156939073, 'MRR': 0.2579205149734017, 'F1': 0.05386131271582313, 'HR': 0.687615449202351, 'ARHR': 0.3323425692695024}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 226, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 0.01, 'negative_reg': 0.01, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23616358802127035, 'precision': 0.13589420654910855, 'recall': 0.03292708260653219, 'map': 0.08591968700438246, 'NDCG': 0.03888120977098787, 'MRR': 0.2580086761824703, 'F1': 0.053009899251111575, 'HR': 0.679471032745592, 'ARHR': 0.33085082563670265}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 200, 'epochs': 48, 'batch_size': 1, 'user_reg': 0.0001, 'positive_reg': 0.0001, 'negative_reg': 0.0, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.2356808004478033, 'precision': 0.13636439966413816, 'recall': 0.03358944754977278, 'map': 0.08618082377087172, 'NDCG': 0.038747515328563055, 'MRR': 0.25521620486984803, 'F1': 0.053901749507438146, 'HR': 0.6818219983207389, 'ARHR': 0.3294913238175011}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 5, 'epochs': 178, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.0, 'negative_reg': 0.01, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23581374195354074, 'precision': 0.13573467674222375, 'recall': 0.0331498279071072, 'map': 0.0855501446030386, 'NDCG': 0.0387567053269243, 'MRR': 0.25374755107751723, 'F1': 0.05328589718013978, 'HR': 0.678673383711167, 'ARHR': 0.3274034424852877}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 200, 'epochs': 96, 'batch_size': 1, 'user_reg': 0.01, 'positive_reg': 0.0, 'negative_reg': 0.01, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23547089280716552, 'precision': 0.13668345927790768, 'recall': 0.03354127966073806, 'map': 0.08643312109338291, 'NDCG': 0.03896022002723743, 'MRR': 0.2575587741393696, 'F1': 0.05386453415904269, 'HR': 0.6834172963895886, 'ARHR': 0.3314931430170545}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 200, 'epochs': 30, 'batch_size': 1, 'user_reg': 0.0, 'positive_reg': 0.0, 'negative_reg': 0.01, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23713266162888394, 'precision': 0.13583543240972984, 'recall': 0.03340774568470711, 'map': 0.08629272786640314, 'NDCG': 0.03886618963556128, 'MRR': 0.25761195074166465, 'F1': 0.05362645197296304, 'HR': 0.6791771620486986, 'ARHR': 0.3312209627763597}
BayesianSearch: Config is suboptimal. Config: {'num_factors': 200, 'epochs': 194, 'batch_size': 1, 'user_reg': 0.0001, 'positive_reg': 1e-05, 'negative_reg': 0.01, 'learning_rate': 0.001, 'sgd_mode': 'adam'} - results: {'AUC': 0.23689126784214964, 'precision': 0.1365659109991499, 'recall': 0.033361984839132726, 'map': 0.08624731784681174, 'NDCG': 0.038881707150231974, 'MRR': 0.25737895326055527, 'F1': 0.05362403659293183, 'HR': 0.6828295549958019, 'ARHR': 0.33101175482785655}
