BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3385705289672549, 'precision': 0.22853064651549057, 'recall': 0.05571041193682043, 'map': 0.15207680287339642, 'NDCG': 0.08503338553394679, 'MRR': 0.3924636160089536, 'F1': 0.08958266991326962, 'HR': 1.142653232577666, 'ARHR': 0.5435992163448615}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'jaccard', 'normalize': True} - results: {'AUC': 0.3270465994962212, 'precision': 0.2188077246011351, 'recall': 0.054203577163045344, 'map': 0.1451635763597285, 'NDCG': 0.08047355138901019, 'MRR': 0.37487475510774293, 'F1': 0.0868840323286871, 'HR': 1.0940386230058774, 'ARHR': 0.5182976490344711}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3338161209068003, 'precision': 0.22570109151968837, 'recall': 0.055008596401300264, 'map': 0.15041010122212217, 'NDCG': 0.08400876758080512, 'MRR': 0.3861376994122532, 'F1': 0.08845793918045367, 'HR': 1.1285054575986566, 'ARHR': 0.5359305905402145}
BayesianSearch: Best config is: Config {'topK': 100, 'shrink': 0, 'similarity': 'cosine', 'normalize': True}, map value is 0.1525
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.33672334172963836, 'precision': 0.23015952980684234, 'recall': 0.05683339525494336, 'map': 0.15407952001118974, 'NDCG': 0.08512383335707938, 'MRR': 0.3923404701931111, 'F1': 0.09115728219703034, 'HR': 1.150797649034425, 'ARHR': 0.547334172963954}
BayesianSearch: New best config found. Config: {'topK': 200, 'shrink': 300, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.29135180520570936, 'precision': 0.17748950461794272, 'recall': 0.03979985695166775, 'map': 0.11462066190875482, 'NDCG': 0.06666465508873998, 'MRR': 0.32370347047297415, 'F1': 0.06501981360880811, 'HR': 0.8874475230898404, 'ARHR': 0.42807794570390506}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 200, 'shrink': 300, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.28980198712566485, 'precision': 0.17756507136857314, 'recall': 0.03994499321980297, 'map': 0.11604542168112157, 'NDCG': 0.06646205038457956, 'MRR': 0.3234179960817069, 'F1': 0.06521845860617276, 'HR': 0.8878253568429891, 'ARHR': 0.4304883851105658}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 1000, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.2605828435488388, 'precision': 0.15496221662466383, 'recall': 0.03163332480321507, 'map': 0.0986315771060684, 'NDCG': 0.05600111843735323, 'MRR': 0.2862874335292323, 'F1': 0.05254112818776891, 'HR': 0.7748110831234257, 'ARHR': 0.3728834312902226}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 200, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.31435418415897043, 'precision': 0.1929974811082806, 'recall': 0.04639744494620002, 'map': 0.1266544220542902, 'NDCG': 0.07464807066856229, 'MRR': 0.3512104673943309, 'F1': 0.07481019044187155, 'HR': 0.9649874055415617, 'ARHR': 0.4681619087601759}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 200, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.30929890848026803, 'precision': 0.1937279596977025, 'recall': 0.04673473688033782, 'map': 0.1280042564604853, 'NDCG': 0.07419795033571043, 'MRR': 0.3497432129862696, 'F1': 0.07530336598299325, 'HR': 0.968639798488665, 'ARHR': 0.47065421214668673}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 500, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3392212426532324, 'precision': 0.2280436607892099, 'recall': 0.05570316043833979, 'map': 0.15180449435581145, 'NDCG': 0.08498840111130977, 'MRR': 0.3926490344248506, 'F1': 0.08953582330144078, 'HR': 1.1402183039462637, 'ARHR': 0.5432073887490052}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 500, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3380492583263361, 'precision': 0.22961376994118327, 'recall': 0.05672836682383694, 'map': 0.15391791445096867, 'NDCG': 0.08496886440711608, 'MRR': 0.3922753988245143, 'F1': 0.09097937394884154, 'HR': 1.1480688497061293, 'ARHR': 0.5467912118668347}
BayesianSearch: Config is suboptimal. Config: {'topK': 200, 'shrink': 50, 'similarity': 'cosine', 'normalize': False} - results: {'AUC': 0.29135180520570936, 'precision': 0.17748950461794272, 'recall': 0.03979985695166775, 'map': 0.11462066190875482, 'NDCG': 0.06666465508873998, 'MRR': 0.32370347047297415, 'F1': 0.06501981360880811, 'HR': 0.8874475230898404, 'ARHR': 0.42807794570390506}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 200, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3406626084522809, 'precision': 0.2283207388748522, 'recall': 0.055912616707550856, 'map': 0.15218200158596396, 'NDCG': 0.08517479095272727, 'MRR': 0.3927980688497036, 'F1': 0.08982766947205378, 'HR': 1.1416036943744752, 'ARHR': 0.5440610131542643}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 200, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3377308984047013, 'precision': 0.2302434928630971, 'recall': 0.05701569851276393, 'map': 0.15425122446123102, 'NDCG': 0.0853756720832108, 'MRR': 0.39309753708368, 'F1': 0.09139824916120116, 'HR': 1.1512174643157012, 'ARHR': 0.5481052336972307}
BayesianSearch: Config is suboptimal. Config: {'topK': 500, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3241498740554156, 'precision': 0.21272879932825706, 'recall': 0.051871397642743115, 'map': 0.14222986052802805, 'NDCG': 0.08193933438050248, 'MRR': 0.37120906801006665, 'F1': 0.08340538114738212, 'HR': 1.0636439966414777, 'ARHR': 0.5101245452001575}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 1000, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3385705289672549, 'precision': 0.22853064651549057, 'recall': 0.05571041193682043, 'map': 0.15207680287339642, 'NDCG': 0.08503338553394679, 'MRR': 0.3924636160089536, 'F1': 0.08958266991326962, 'HR': 1.142653232577666, 'ARHR': 0.5435992163448615}
BayesianSearch: New best config found. Config: {'topK': 100, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.340316260845228, 'precision': 0.228933669185515, 'recall': 0.05599810569031256, 'map': 0.15249315467860355, 'NDCG': 0.085350936656601, 'MRR': 0.393573327735794, 'F1': 0.08998541358687269, 'HR': 1.1446683459277918, 'ARHR': 0.5451630282676148}
ParameterSearch: Best result evaluated on URM_test. Config: {'topK': 100, 'shrink': 0, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.33672334172963836, 'precision': 0.23015952980684234, 'recall': 0.05683339525494336, 'map': 0.15407952001118974, 'NDCG': 0.08512383335707938, 'MRR': 0.3923404701931111, 'F1': 0.09115728219703034, 'HR': 1.150797649034425, 'ARHR': 0.547334172963954}
BayesianSearch: Config is suboptimal. Config: {'topK': 100, 'shrink': 500, 'similarity': 'cosine', 'normalize': True} - results: {'AUC': 0.3392212426532324, 'precision': 0.2280436607892099, 'recall': 0.05570316043833979, 'map': 0.15180449435581145, 'NDCG': 0.08498840111130977, 'MRR': 0.3926490344248506, 'F1': 0.08953582330144078, 'HR': 1.1402183039462637, 'ARHR': 0.5432073887490052}
