GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 2.0, 'normalize_similarity': True}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.30000000000000004, 'beta': 2.0, 'normalize_similarity': False}, map value is 0.0006
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.1056
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.1018
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.20000000000000001, 'normalize_similarity': True}, map value is 0.1116
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.20000000000000001, 'normalize_similarity': False}, map value is 0.1052
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1158
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.1090
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.40000000000000002, 'normalize_similarity': True}, map value is 0.1176
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.40000000000000002, 'normalize_similarity': False}, map value is 0.1119
GridSearch: New best config found. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.5, 'normalize_similarity': True}, map value is 0.1194
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.5, 'normalize_similarity': False}, map value is 0.1143
GridSearch: Config is suboptimal. Config {'topK': 50, 'alpha': 0.40000000000000002, 'beta': 0.59999999999999998, 'normalize_similarity': True}, map value is 0.1194
