GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.0001, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 1, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.1, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.01, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.001, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 10, 'reg': 0.0001, 'learning_rate': 0.0001}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.1}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.01}, map value is 0.0592
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 20, 'reg': 0.1, 'learning_rate': 0.001}, map value is 0.0592
