GridSearch: Config is suboptimal. Config {'topK': 100, 'alpha': 2.0, 'normalize_similarity': False}, map value is 0.0069
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.10000000000000001, 'normalize_similarity': True}, map value is 0.0989
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.10000000000000001, 'normalize_similarity': False}, map value is 0.0862
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.20000000000000001, 'normalize_similarity': True}, map value is 0.1011
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.20000000000000001, 'normalize_similarity': False}, map value is 0.0875
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.30000000000000004, 'normalize_similarity': True}, map value is 0.1027
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.30000000000000004, 'normalize_similarity': False}, map value is 0.0886
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.40000000000000002, 'normalize_similarity': True}, map value is 0.1043
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.40000000000000002, 'normalize_similarity': False}, map value is 0.0898
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.5, 'normalize_similarity': True}, map value is 0.1066
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.5, 'normalize_similarity': False}, map value is 0.0916
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.59999999999999998, 'normalize_similarity': True}, map value is 0.1084
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.59999999999999998, 'normalize_similarity': False}, map value is 0.0935
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.70000000000000007, 'normalize_similarity': True}, map value is 0.1094
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.70000000000000007, 'normalize_similarity': False}, map value is 0.0963
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.80000000000000004, 'normalize_similarity': True}, map value is 0.1104
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.80000000000000004, 'normalize_similarity': False}, map value is 0.1004
GridSearch: New best config found. Config {'topK': 150, 'alpha': 0.90000000000000002, 'normalize_similarity': True}, map value is 0.1118
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 0.90000000000000002, 'normalize_similarity': False}, map value is 0.1058
GridSearch: New best config found. Config {'topK': 150, 'alpha': 1.0, 'normalize_similarity': True}, map value is 0.1125
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.0, 'normalize_similarity': False}, map value is 0.1095
GridSearch: New best config found. Config {'topK': 150, 'alpha': 1.1000000000000001, 'normalize_similarity': True}, map value is 0.1127
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.1000000000000001, 'normalize_similarity': False}, map value is 0.0773
GridSearch: New best config found. Config {'topK': 150, 'alpha': 1.2000000000000002, 'normalize_similarity': True}, map value is 0.1136
GridSearch: Config is suboptimal. Config {'topK': 150, 'alpha': 1.2000000000000002, 'normalize_similarity': False}, map value is 0.0552
GridSearch: New best config found. Config {'topK': 150, 'alpha': 1.3000000000000003, 'normalize_similarity': True}, map value is 0.1142
