GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 31, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0524
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0690
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0524
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0690
GridSearch: Config is suboptimal. Config {'num_factors': 10, 'epochs': 41, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0692
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 1, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0009
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0690
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0698
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0002
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.01}, map value is 0.0690
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 11, 'batch_size': 51, 'learning_rate': 0.0001}, map value is 0.0698
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.1}, map value is 0.0005
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.01}, map value is 0.0653
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 1, 'learning_rate': 0.0001}, map value is 0.0700
GridSearch: Config is suboptimal. Config {'num_factors': 20, 'epochs': 21, 'batch_size': 51, 'learning_rate': 0.1}, map value is 0.0005
